County,State,Area name,Cty-St
000,00,United States,United States-US
000,01,Alabama,Alabama-AL
001,01,Autauga County,Autauga County-AL
003,01,Baldwin County,Baldwin County-AL
005,01,Barbour County,Barbour County-AL
007,01,Bibb County,Bibb County-AL
009,01,Blount County,Blount County-AL
011,01,Bullock County,Bullock County-AL
013,01,Butler County,Butler County-AL
015,01,Calhoun County,Calhoun County-AL
017,01,Chambers County,Chambers County-AL
019,01,Cherokee County,Cherokee County-AL
021,01,Chilton County,Chilton County-AL
023,01,Choctaw County,Choctaw County-AL
025,01,Clarke County,Clarke County-AL
027,01,Clay County,Clay County-AL
029,01,Cleburne County,Cleburne County-AL
031,01,Coffee County,Coffee County-AL
033,01,Colbert County,Colbert County-AL
035,01,Conecuh County,Conecuh County-AL
037,01,Coosa County,Coosa County-AL
039,01,Covington County,Covington County-AL
041,01,Crenshaw County,Crenshaw County-AL
043,01,Cullman County,Cullman County-AL
045,01,Dale County,Dale County-AL
047,01,Dallas County,Dallas County-AL
049,01,DeKalb County,DeKalb County-AL
051,01,Elmore County,Elmore County-AL
053,01,Escambia County,Escambia County-AL
055,01,Etowah County,Etowah County-AL
057,01,Fayette County,Fayette County-AL
059,01,Franklin County,Franklin County-AL
061,01,Geneva County,Geneva County-AL
063,01,Greene County,Greene County-AL
065,01,Hale County,Hale County-AL
067,01,Henry County,Henry County-AL
069,01,Houston County,Houston County-AL
071,01,Jackson County,Jackson County-AL
073,01,Jefferson County,Jefferson County-AL
075,01,Lamar County,Lamar County-AL
077,01,Lauderdale County,Lauderdale County-AL
079,01,Lawrence County,Lawrence County-AL
081,01,Lee County,Lee County-AL
083,01,Limestone County,Limestone County-AL
085,01,Lowndes County,Lowndes County-AL
087,01,Macon County,Macon County-AL
089,01,Madison County,Madison County-AL
091,01,Marengo County,Marengo County-AL
093,01,Marion County,Marion County-AL
095,01,Marshall County,Marshall County-AL
097,01,Mobile County,Mobile County-AL
099,01,Monroe County,Monroe County-AL
101,01,Montgomery County,Montgomery County-AL
103,01,Morgan County,Morgan County-AL
105,01,Perry County,Perry County-AL
107,01,Pickens County,Pickens County-AL
109,01,Pike County,Pike County-AL
111,01,Randolph County,Randolph County-AL
113,01,Russell County,Russell County-AL
115,01,St. Clair County,St. Clair County-AL
117,01,Shelby County,Shelby County-AL
119,01,Sumter County,Sumter County-AL
121,01,Talladega County,Talladega County-AL
123,01,Tallapoosa County,Tallapoosa County-AL
125,01,Tuscaloosa County,Tuscaloosa County-AL
127,01,Walker County,Walker County-AL
129,01,Washington County,Washington County-AL
131,01,Wilcox County,Wilcox County-AL
133,01,Winston County,Winston County-AL
000,02,Alaska,Alaska-AK
013,02,Aleutians East Borough,Aleutians East Borough-AK
016,02,Aleutians West Census Area,Aleutians West Census Area-AK
020,02,Anchorage Municipality,Anchorage Municipality-AK
050,02,Bethel Census Area,Bethel Census Area-AK
060,02,Bristol Bay Borough,Bristol Bay Borough-AK
063,02,Chugach Census Area,Chugach Census Area-AK
066,02,Copper River Census Area,Copper River Census Area-AK
068,02,Denali Borough,Denali Borough-AK
070,02,Dillingham Census Area,Dillingham Census Area-AK
090,02,Fairbanks North Star Borough,Fairbanks North Star Borough-AK
100,02,Haines Borough,Haines Borough-AK
105,02,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area-AK
110,02,Juneau City and Borough,Juneau City and Borough-AK
122,02,Kenai Peninsula Borough,Kenai Peninsula Borough-AK
130,02,Ketchikan Gateway Borough,Ketchikan Gateway Borough-AK
150,02,Kodiak Island Borough,Kodiak Island Borough-AK
158,02,Kusilvak Census Area,Kusilvak Census Area-AK
164,02,Lake and Peninsula Borough,Lake and Peninsula Borough-AK
170,02,Matanuska-Susitna Borough,Matanuska-Susitna Borough-AK
180,02,Nome Census Area,Nome Census Area-AK
185,02,North Slope Borough,North Slope Borough-AK
188,02,Northwest Arctic Borough,Northwest Arctic Borough-AK
195,02,Petersburg Borough,Petersburg Borough-AK
198,02,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area-AK
201,02,Prince of Wales-Outer Ketchikan Census Area,Prince of Wales-Outer Ketchikan Census Area-AK
220,02,Sitka City and Borough,Sitka City and Borough-AK
230,02,Skagway Municipality,Skagway Municipality-AK
232,02,Skagway-Hoonah-Angoon Census Area,Skagway-Hoonah-Angoon Census Area-AK
